nat_lable,advx_lable,perturbation,data_norm
6,5,1.6744288,32.622986
7,6,1.6744289,32.438904
5,6,1.6744288,33.10054
7,6,1.6744289,31.92212
6,5,1.6744288,32.23142
7,8,1.6744288,32.0344
5,6,1.6744288,31.975975
7,6,1.6744288,32.108925
7,5,1.6744288,32.28636
7,6,1.6744289,32.26983
6,5,1.6744289,32.152267
7,6,1.6744288,32.02798
7,6,1.6744288,31.924698
7,6,1.6744288,31.991238
6,7,1.6744288,31.76563
7,6,1.6744289,31.942814
7,6,1.6744289,32.0852
7,6,1.6744288,32.33411
7,6,1.6744288,31.98013
7,6,1.6744288,31.92879
6,7,1.6744289,32.415127
6,7,1.6744289,31.664822
7,6,1.6744289,32.33584
7,6,1.6744289,31.725988
7,6,1.6744288,31.931429
6,7,1.6744289,32.31851
6,7,1.6744288,32.048347
6,7,1.6744288,31.91152
6,7,1.6744288,32.157127
6,7,1.6744289,32.25068
6,7,1.6744289,32.306572
6,7,1.6744289,31.933695
6,7,1.6744288,31.879362
6,7,1.6744288,32.0867
6,7,1.6744288,31.591648
6,7,1.6744289,32.262665
6,7,1.6744288,32.1455
6,7,1.6744289,32.817062
6,7,1.6744289,32.05101
6,7,1.6744288,31.77121
7,6,1.6744289,32.075123
6,7,1.6744288,31.787386
6,7,1.6744289,32.18322
6,7,1.6744288,31.901188
6,7,1.6744289,32.356045
6,7,1.6744288,32.211357
6,7,1.6744288,32.049694
6,7,1.6744288,32.47073
6,7,1.6744289,31.96962
6,7,1.6744288,32.054268
7,6,1.6744288,32.227074
6,7,1.6744289,32.763474
6,7,1.6744289,31.761587
6,7,1.6744289,31.982403
6,7,1.6744288,31.826223
6,7,1.6744288,32.246017
6,7,1.6744288,31.877758
6,7,1.6744288,31.85518
6,7,1.6744289,32.250546
6,7,1.6744289,31.209023
6,7,1.6744289,32.091663
6,12,1.6744288,32.29426
6,7,1.6744288,31.780186
6,7,1.6744288,31.903742
6,7,1.6744289,32.203037
6,7,1.6744288,32.520588
6,7,1.6744289,32.10327
6,7,1.6744288,31.76641
6,7,1.6744289,32.32987
6,7,1.6744288,31.69743
6,6,1.6744288,32.10774
6,7,1.6744289,32.42328
6,7,1.6744289,32.341095
6,7,1.6744289,32.101395
6,7,1.6744289,31.922253
6,7,1.6744288,31.997622
6,7,1.6744288,32.29809
6,7,1.6744289,31.673279
6,7,1.6744288,31.843975
6,7,1.6744288,32.202065
6,7,1.6744289,31.513144
6,12,1.6744288,32.108166
6,7,1.6744288,32.378998
6,7,1.6744289,32.319004
6,7,1.6744289,32.81335
6,7,1.6744288,32.141953
6,7,1.6744288,32.01024
6,7,1.6744288,32.092373
6,7,1.6744289,32.082745
6,7,1.6744288,32.00763
6,6,1.6744288,31.63368
6,7,1.6744289,31.779541
6,7,1.6744288,32.10852
6,7,1.6744289,32.151604
6,7,1.6744288,31.99138
6,7,1.6744289,32.46226
6,7,1.6744288,31.855368
6,6,1.6744288,32.515564
6,7,1.6744288,32.239918
6,7,1.6744289,32.286877
6,7,1.6744289,32.222622
6,7,1.6744288,31.864464
6,7,1.6744289,32.671696
6,7,1.6744289,31.36048
6,7,1.6744289,31.886492
6,7,1.6744288,32.135757
6,12,1.6744288,32.156395
6,7,1.6744289,31.88767
6,7,1.6744289,32.425903
6,7,1.6744288,31.905968
6,7,1.6744289,32.509647
6,7,1.6744288,32.449066
6,7,1.6744288,32.434227
6,12,1.6744288,32.425266
6,7,1.6744289,32.175632
6,7,1.6744288,32.047245
6,7,1.6744288,31.931198
6,7,1.6744288,32.65726
6,7,1.6744288,32.13999
6,7,1.6744288,31.761942
