nat_lable,advx_lable,perturbation,data_norm
13,16,1.6154102,31.34258
12,16,1.6273408,32.00881
13,12,1.6308393,31.768162
13,8,1.6113194,31.426607
11,16,1.6283734,32.079605
12,9,1.6309497,32.09686
13,12,1.6317598,32.590332
16,10,1.6233906,31.615433
16,11,1.6191428,32.88928
9,16,1.6286384,31.549065
16,9,1.6054555,32.542885
13,12,1.6116474,32.21615
14,9,1.613716,32.070454
10,13,1.6156255,32.434437
16,12,1.6025827,31.974558
15,12,1.6051412,31.708115
15,13,1.5941516,31.896534
15,14,1.6067988,32.501366
16,14,1.6079475,31.541334
15,13,1.6173104,31.717958
15,14,1.6128292,32.428158
15,13,1.613307,31.302568
16,14,1.6184214,32.737362
16,11,1.5888134,33.18293
15,14,1.6129638,31.856966
15,14,1.6091502,31.85538
14,15,1.5997632,31.712212
16,15,1.615461,31.451752
14,16,1.6205043,32.324474
16,14,1.6125257,32.80175
16,15,1.5964756,31.985996
14,16,1.627746,31.54516
16,14,1.609456,33.58741
14,16,1.6223708,31.63222
14,16,1.6147391,32.108612
14,13,1.6238122,32.03897
14,15,1.5751956,32.210022
16,10,1.5915525,32.497906
15,14,1.6131414,32.518276
14,16,1.5907514,32.24457
14,15,1.6011221,32.46663
16,14,1.5930958,32.514046
16,15,1.6086735,32.588634
14,11,1.6010242,31.971493
16,14,1.6023501,31.283955
14,16,1.6168581,31.84244
16,14,1.5920489,32.734886
14,15,1.5005784,32.59425
14,16,1.6097547,32.336945
14,15,1.5929691,31.970053
14,16,1.6137525,31.883467
14,16,1.601264,31.612345
14,16,1.5979998,31.918573
14,16,1.6298463,32.387764
14,15,1.5819992,31.317942
15,14,1.5878539,32.458183
14,15,1.6021105,31.90399
14,16,1.5924786,32.57435
16,15,1.6184008,31.932838
14,15,1.612101,31.906271
16,13,1.590932,32.51439
14,16,1.6232659,32.720016
14,16,1.6069045,32.389816
14,15,1.5835025,32.110584
14,15,1.6285574,32.442257
14,15,1.5932472,31.512266
14,16,1.6243001,31.98765
14,15,1.6018553,32.054653
14,15,1.5889333,30.98214
14,16,1.6003944,32.03043
14,15,1.5995159,32.73763
16,14,1.6224145,32.615105
14,16,1.6063443,33.1717
14,16,1.6203061,32.777946
14,16,1.6269205,32.692432
13,14,1.6095684,32.372494
14,16,1.594671,32.224274
15,14,1.6017128,31.166101
14,16,1.6143622,32.47856
12,16,1.5995842,32.94868
14,16,1.6048647,31.282063
14,16,1.5939912,31.362894
15,16,1.5871131,31.246195
14,15,1.5436633,32.69956
16,15,1.5733137,30.483582
14,16,1.6109095,31.564533
15,14,1.5959725,31.571154
16,14,1.6177324,32.81341
14,16,1.6104395,31.567944
16,14,1.6274215,31.882269
14,16,1.5911001,32.74392
16,14,1.6127564,31.814747
14,16,1.6044006,32.03675
14,16,1.585676,31.59905
14,15,1.5898547,32.337482
14,16,1.5891078,32.476917
14,16,1.6080755,32.137066
15,14,1.5885714,32.88413
14,16,1.5823036,31.639488
14,15,1.5927348,31.674736
14,16,1.597294,31.047543
14,16,1.6046467,30.517437
14,16,1.5831536,32.12869
14,16,1.5371977,32.336967
16,14,1.5765669,32.471905
14,16,1.6052603,32.560104
14,15,1.6037419,31.287973
14,16,1.5817876,33.573986
14,16,1.6009492,31.169455
14,16,1.5946405,33.48885
14,16,1.6282991,32.63051
16,15,1.6195203,32.064564
14,16,1.6069117,31.991655
14,16,1.5960771,32.83202
14,15,1.5995302,31.532627
14,16,1.618876,31.582056
14,15,1.6175933,32.392117
14,16,1.6242476,31.808249
16,15,1.6033008,31.204504
16,14,1.598712,33.4603
