nat_lable,advx_lable,perturbation,data_norm
6,5,1.7582966,32.622986
7,6,1.683389,32.438904
5,6,1.7026829,33.10054
7,6,1.6871105,31.92212
6,5,1.6918598,32.23142
7,8,1.5872813,32.0344
5,6,1.7161773,31.975975
7,6,1.6608723,32.108925
7,5,1.5029502,32.28636
7,6,1.6955695,32.26983
6,5,1.4695475,32.152267
7,6,1.7224282,32.02798
7,6,1.675145,31.924698
7,6,1.6552231,31.991238
6,7,1.5453193,31.76563
7,6,1.6779445,31.942814
7,6,1.66561,32.0852
7,6,1.6684847,32.33411
7,6,1.5994437,31.98013
7,6,1.696817,31.92879
6,7,1.4969295,32.415127
6,7,1.4073644,31.664822
7,6,1.606219,32.33584
7,6,1.6204655,31.725988
7,6,1.4874642,31.931429
6,7,1.4623835,32.31851
6,7,1.5168066,32.048347
6,7,1.5390714,31.91152
6,7,1.4380882,32.157127
6,7,1.4004271,32.25068
6,12,1.4449354,32.306572
6,7,1.5333074,31.933695
6,7,1.3930535,31.879362
6,16,1.5152578,32.0867
6,10,1.4239528,31.591648
6,12,1.5306637,32.262665
6,7,1.4985623,32.1455
6,15,1.5320468,32.817062
6,7,1.2898346,32.05101
6,7,1.4906831,31.77121
7,6,1.4099187,32.075123
6,7,1.4844579,31.787386
6,16,1.5426664,32.18322
6,16,1.5177938,31.901188
6,7,1.416996,32.356045
6,7,1.516954,32.211357
6,16,1.5333079,32.049694
6,14,1.4162639,32.47073
6,7,1.3617889,31.96962
6,7,1.4515953,32.054268
7,6,1.5000325,32.227074
6,7,1.3956789,32.763474
6,7,1.3806777,31.761587
6,7,1.5014076,31.982403
6,7,1.4181653,31.826223
6,7,1.5075849,32.246017
6,14,1.5654122,31.877758
6,7,1.4590973,31.85518
6,7,1.3951936,32.250546
6,7,1.434922,31.209023
6,7,1.3873533,32.091663
6,12,1.4031212,32.29426
6,12,1.4742483,31.780186
6,12,1.4703968,31.903742
6,7,1.4546696,32.203037
6,7,1.444466,32.520588
6,7,1.4584522,32.10327
6,7,1.4388051,31.76641
6,12,1.5482156,32.32987
6,7,1.4218594,31.69743
6,7,1.3859524,32.10774
6,7,1.4191259,32.42328
6,7,1.4538509,32.341095
6,15,1.4972465,32.101395
6,7,1.4398553,31.922253
6,7,1.4961641,31.997622
6,7,1.3764204,32.29809
6,7,1.4386994,31.673279
6,7,1.3518791,31.843975
6,7,1.3879083,32.202065
6,6,1.3776711,31.513144
6,7,1.5149918,32.108166
6,7,1.4857069,32.378998
6,7,1.4028565,32.319004
6,7,1.461687,32.81335
6,7,1.3736699,32.141953
6,7,1.3597339,32.01024
6,7,1.5121957,32.092373
6,12,1.3750391,32.082745
6,12,1.4774048,32.00763
6,16,1.5275943,31.63368
6,7,1.4577546,31.779541
6,14,1.5167184,32.10852
6,7,1.4531589,32.151604
6,16,1.557945,31.99138
6,7,1.2951623,32.46226
6,7,1.3638358,31.855368
6,7,1.4970498,32.515564
6,15,1.5799847,32.239918
6,7,1.4068652,32.286877
6,7,1.3606186,32.222622
6,7,1.4563978,31.864464
6,7,1.369054,32.671696
6,14,1.6234891,31.36048
6,7,1.47905,31.886492
6,7,1.3774806,32.135757
6,7,1.402176,32.156395
6,7,1.4116378,31.88767
6,7,1.4885305,32.425903
6,12,1.4058051,31.905968
6,7,1.3961382,32.509647
6,7,1.4139171,32.449066
6,7,1.4453739,32.434227
6,12,1.4503738,32.425266
6,7,1.4337574,32.175632
6,7,1.3952762,32.047245
6,12,1.3964458,31.931198
6,7,1.511005,32.65726
6,16,1.4922413,32.13999
6,7,1.4156723,31.761942
